MC1	MC2	MC3	Code	PRIO	DEFINITIE
Alarm			al		Alle soorten alarmen van detectiesystemen die rechtstreeks op de meldkamer binnenkomen, en meldingen door derden over het afgaan van alarmen van detectiesystemen.
Alarm	Autom. brand		alab	2	Alarmen van aangesloten OMS die direct op de meldkamer binnenkomen en automatische brandmeldingen door PAC aan de meldkamer doorgegeven.
Alarm	Autom. brand	Autom. brand OMS	alabab	2	Melding via OMS van inwerkingtreding van een automatische brandmelder
Alarm	Autom. brand	Br beheerssysteem	alabbb	2	Melding via OMS van inwerkingtreding van een automatische blusinstallatie
Alarm	Autom. brand	Brandmelding PAC	alabbm	2	Binnenkomende brandmeldingen via de PAC van op PAC aangesloten automatische branddetectiesystemen.
Alarm	Autom. brand	Drukknopmelding OMS	alabdk	2	Melding via het OMS van een aangesloten handmelder in controle-/portiersruimtes van risicovolle objecten. Bediening mag uitsluitend door kundige medewerkers worden verricht. Dit zijn dan ook meldingen waaraan de hoogste urgentie moet worden gegeven voor afhandeling melding.
Alarm	Autom. brand	Handmelder OMS	alabhm	2	Brandmeldingen op de meldkamer die direct binnenkomen via de aangesloten OMS, en automatische brandmeldingen via de PAC aan de meldkamer doorgegeven.
Alarm	Autom. Gev stof		algs	2	Automatische meldingen van ontsnapping van een gevaarlijke stof via direct op de meldkamer aangesloten OMS en door PAC aan de meldkamer doorgegeven.
Alarm	Autom. Gev stof	Gev. stof OMS	algsom	2	Melding via OMS van detectie van een gevaarlijke stof.
Alarm	Autom. Gev stof	Gev. stof PAC	algspa	2	Binnenkomende meldingen via PAC van op PAC aangesloten automatische Gevaarlijke Stof detectiesystemen.
Alarm	Autom. systeemmelding		alas	4	Alle binnenkomende meldingen via de OMS waarvoor, op basis van de aard van de melding, geen repressieve brandweer inzet nodig is. Het betreft in hoofdzaak storings-, onderhouds-, test en buiten werking stelling meldingen van OMS systemen.
Alarm	Hoog water alarm		alhw	4	Alarmen/waarschuwingen afgegeven door Rijkswaterstaat/waterschappen i.v.m. dreigend bijzonder hoogwater.
Alarm	Luid/optisch alarm		allo	3	Melding door een persoon aan de meldkamer dat ergens een luid/optisch (bijvoorbeeld inbraak-, brand-, (co)gas alarm) hoor- of zichtbaar is, en waarop door de beheerder /gebruiker van het betreffende object niet gereageerd lijkt te worden.
Alarm	Luid/optisch alarm	CO-melder	alloco	3	
Alarm	Luid/optisch alarm	Gebouw	allogb	3	Melding door een persoon aan de meldkamer dat uit/ in of aan een gebouw een luid/optisch (bijvoorbeeld inbraak-, brand-, (co)gas) alarm hoor- of zichtbaar is waarop door de beheerder/gebruiker van het betreffende object niet gereageerd lijkt te worden.
Alarm	Luid/optisch alarm	Rookmelder	allorm	3	Melding door een persoon aan de meldkamer zonder dat diegene toegang heeft tot het object, maar voldoende kennis heeft van het object, om te bepalen dat in het object een rookmelder hoorbaar is. Verder zijn er geen indicaties dat er brand is, maar waarop vanuit/door de beheerder/gebruiker van het betreffende object niet gereageerd lijkt te worden.
Alarm	Luid/optisch alarm	Voertuig/Vaartuig	allovv	3	Melding van een persoon aan de meldkamer dat uit/in of aan een voer-/vaartuig een luid/optisch (b.v. inbraak-, brand-, (co)gas) alarm hoor-/zichtbaar is waarop vanuit/door de beheerder/gebruiker van het betreffende object niet gereageerd lijkt te worden.
Alarm	PAC alarm		alpa	2	Alarmmeldingen die via de PAC op de meldkamer binnenkomen.
Alarm	PAC alarm	Inbraakalarm	alpaib	2	Inbraakmeldingen die via de PAC binnenkomen van de op PAC aangesloten inbraak detectiesystemen.
Alarm	PAC alarm	Overvalalarm	alpaov	2	(Drukknop) overvalmeldingen via de PAC aan de meldkamer doorgegeven, van systemen voor het doorgeven van een overvalmelding.
Alarm	PAC alarm	Persoonsalarm	alpaps	1	Melding via de PAC van een persoonsgebonden noodoproepsysteem met de indicatie dat hulp van de OOV dienst nodig is.
Alarm	RAC alarm		alra	1	Inbraakmeldingen die via de RAC binnenkomen.
Alarm	RAC alarm	Inbraakalarm	alraib	1	Inbraakmeldingen die via de RAC binnenkomen van de op RAC aangesloten inbraakdetectie systemen.
Alarm	RAC alarm	Overvalalarm	alraov	1	(Drukknop) overvalmeldingen aan de meldkamer doorgegeven via de RAC, van systemen voor het doorgeven van een overvalmelding.
Alarm	RAC alarm	Persoonsalarm	alraps	1	Melding die rechtstreeks op de meldkamer binnenkomt van een speciaal voor het doorgeven van noodoproepen bedoeld, op de persoon, draagbaar middel. Dit is geen C2000-verbindingsmiddel.
Alarm	Sensing		alse	2	
Alarm	Sensing	Alert	alseal	2	Alert is een hit vanuit een van de bij de marechaussee gebruikte sensing systemen ten behoeve van de grensbewaking van de lucht, land of zeegrenzen. 
Alarm	Sensing	ANPR-hit	alseah	2	
Alarm	Sensing	Opsporingsmiddel	alseom	2	
Alarm	Sensing	Toezichtsalarm	alsetz	1	Een gedetineerde of TBS-er krijgt een GPS band waardoor hij voordurend onder toezicht is. Als de betrokkene de naleving van bijzondere voorwaarde niet opvolgt, volgt er een melding naar de MKP.
Alarm	Tunnelalarm		altu	2	Automatische alarmmelding via vanuit tunnel zonder indicatie dat het een brandmelding betreft.
Alarm	Weeralarm		alma	4	Alarmen/waarschuwingen afgegeven door meteorologische diensten i.v.m. dreigend gevaarlijk/extreem weer.
Bezitsaantasting			bz		Aantasting van andermans bezit of een poging daartoe.
Bezitsaantasting	Diefstal		bzds	3	Het wegnemen of toe-eigenen van enig goed dat geheel of gedeeltelijk aan een ander toebehoort.
Bezitsaantasting	Diefstal	Afpersing	bzdsap	3	Bij een afpersing (in de volksmond: chantage) probeert iemand zich wederrechtelijk te bevoordelen door een ander, al dan niet met geweld/smaad/laster/openbaarmaking, te dwingen iets te geven/te doen/niet te doen/te dulden. Dit kan gepaard gaan met een cybercomponent of seksueel getint materiaal. De daders willen geen politie-inmenging.
